messageText,pre_sum,Tar_sum,rouge1,rouge2,rougeL
"👋Вітаємо на каналі КОРИСНО (HELPFUL) Швейцарського Червоного Хреста.\nМи — група волонтерів, яка допоможе вам знайти відповіді на ваші запитання. Ми намагаємось відповідати впродовж 24 годин. Відповіді на запитання надаються з понеділка по п’ятницю. \n\nПерш ніж поставити своє запитання, просимо вас спочатку переглянути веб-сайт КОРИСНО (HELPFUL): helpful.redcross.ch\n\nНа цьому каналі можна використовувати українську, російську, англійську та державні мови Швейцарії. Ми відповідатимемо здебільшого державними мовами Швейцарії та пропонуватимемо перекласти наші відповіді. Для цього скористайтеся функцією «перекладу», яку пропонує Telegram. Указівки та коментарі наведено нижче.\n\n⚠️Оскільки це публічний канал, ваші коментарі бачитимуть всі бажаючі.\nЯкщо у вас є запитання, що передбачає розкриття особистої інформації, просимо вас додати в коментарі значок ✉️.\nТоді ми надішлемо вам приватне повідомлення в зашифрованому чаті.\n\n📍Відповіді на деякі питання були надані в приватних повідомленнях. Просимо вас писати під відповідними секціями в основному каналі. \n\n____\n\n👋Добро пожаловать на канал HELPFUL Швейцарского Красного Креста. \nМы - команда волонтеров и готовы помочь вам найти ответы на ваши вопросы. Мы стараемся давать ответы в течение 24 часов. Мы будем отвечать на ваши вопросы с понедельника по пятницу.  \n\nПрежде чем задать свой вопрос, просим вас сначала заглянуть на сайт HELPFUL: helpful.redcross.ch.\n\nНа этом канале используются украинский, русский, английский или швейцарские государственные языки. Мы будем отвечать преимущественно на языках, используемых в Швейцарии, и просим вас переводить наши ответы.  Для этого воспользуйтесь опцией ""перевести"", имеющейся в Telegram. Смотрите инструкции в комментариях ниже. \n\n⚠️Поскольку этот канал является публичным, ваши комментарии сможет увидеть каждый.\nЕсли у вас есть вопрос, подразумевающий предоставления каких-то личных данных, просим вас отправить значок ✉️ в комментарии.\nПосле этого мы отправим вам личное сообщение в защищенном чате.\n\n___\n\n👋 Welcome to the channel HELPFUL by the Swiss Red Cross.\nWe are a team of volunteers and will help you find answers to your questions. We aim to respond within 24 hours. The questions will be answered from Monday to Friday. \n\nBefore asking your question, we ask you to please first check the HELPFUL website: helpful.redcross.ch\n\nThe languages used in this channel are Ukrainian, Russian, English or the Swiss national languages. We will mainly answer using the Swiss national languages and ask you to translate our answers. To do this please use the option “translate” provided by Telegram. See instructions in the comments below.\n\n⚠️ As this channel is public, your comments will be seen by everyone.\nIf you have a question that requires sharing some personal data, we ask you to send the icon ✉️ in the comment.\nWe will then send you a private message in a secured chat.\n\n📍Some answers are provided in private messages. We also please ask you to write under the appropriate sections in the main channel.","Вітаємо на канал КОРИСНО (HELPFUL) Швейцарського Червоного Хреста. Для того, щоб знайти відповіді на запитання, просимо вас скористатися зашифрованим чатом.","Українська, російська, англійська та швейцарські державні мови - це одна з найпопулярніших тем тижня в історії Швейцарії. Це означає, що у вас є запитання щодо Червоного Хреста. Для цього ми намагаємось найти відповіді.",0.0,0.0,0.0
"🇺🇦 Пікнік. Український борщ (Женева)\n\nАсоціація ""Українки Швейцарії"" запрошує 11 червня на природу, і, як вже традиційно складається щочервня, будемо разом готувати український борщ у казанку.\n\nЦьогоріч лютий для українців затягнувся, вже літо надворі, але ми подумки й серцем там - у лютому та війні. \nНаша зустріч ставить за мету: зустрітися зі старими друзями з діаспори, познайомитися з новими людьми, нагулятися на свіжому повітрі, разом зварити #борщнаш та з апетитом його з'їсти. \n\n⏰ Коли: 11 червня 2022 року, 15:00\nДе: пікнік-зона зі столами\n 📍 Vallon de l'Allondon (Женева)\nРеєстрація учасників обов'язкова\nhttps://docs.google.com/forms/d/1bl8J5bwCFL2_uOkBtOGZJofJ2boLbeAeJ60aZhb73hc/viewform?edit_requested=true\n\nМожна приносити напої та закуску до борщу. \n\n✅ Щоб першим отримувати корисну інформацію підписуйтесь на нашу сторінку у Facebook\nhttps://www.facebook.com/ukraine.reborn.ch/ \nабо на канал у telegram https://t.me/ukraine_reborn\n\n#ukraine_reborn_рекомендує\n#ukraine_reborn","У Швейцарії відбудеться пікнік-зона зі столами, які розпочинаються 11 червня 2022 року, а також - зустріч українського борщу у казанку, а також - у казанку.","У п'ятницю, 11 червня, у Швейцарії відбудеться пікнік. Про це повідомляє кореспондент ВВС Україна з місця подій і регіону. Для цього, ми зібрали кілька найцікавіших матеріалів дня.",0.6666666666666666,0.0,0.6666666666666666
"🇺🇦 Запис на літні заходи Passeport vacances \n\nМи хочемо подарувати можливість українським дітям прийняти участь у веселих, спортивних та повчальних заходах під час літніх канікул. Ми віримо, що це дасть діточкам можливість зустрітися з новими друзями їхнього віку, та швидше адаптуватися та інтегруватися до швейцарської культури. Ми також матимемо спонсорів, які забезпечать безкоштовність цих заходів.\n\nВік участників для більшості комун від 8 до 15 років.\nДля мешканців кантонів Во та Фрібург\n\nМи плануємо придбати та запропонувати українським дітям розроблені швейцарськими кантонами і коммунами «відпускні паспорти» (Holiday Passport). Це програма, яка пропонує дітям різні заняття під час 2х тижнів, наприклад, відкриття професій, спорту, розваг у регіоні, де вони проживають. Паспорт, який дитина отримає безкоштовно, дозволить їй вибрати до 5-6ти заходів з більш ніж 100 доступних у списку заходів які відповідають її інтересам і потребам, + абонемент на 2 тижні в басейн і 2-3 квитка у кіно (залежить від комуни).  \n\nХорошою новиною є те, що українські діти братимуть участь у цих заходах разом зі швейцарськими дітьми, що дозволяє швидше інтегруватися у швейцарську культуру та покращити мову.\nНажаль ми не можемо гарантувати, чи всі франкомовні кантони та комуни продаватимуть «відпускні паспорти», оскільки за останні 2 роки їх не було через Covid. (Як правило, лише діти в межах комуни мають право брати участь у заходах від отриманих відпускних паспортів.)\n\nОскільки кількість паспортів, які ми зможемо запропонувати, обмежена, просимо відправити нам необхідну інформацію до 23.05, щоб забронювати місце.\n\nЯкщо ви, як батьки, зацікавлені, заповніть наступну інформацію https://forms.gle/xwqnReRJbdjzowet6","У швейцарських кантонах Во та Фрібург планують придбати та запропонувати українським дітям «відпускні паспорти», які дозволять їм брати участь у літніх заходах під час літніх канікул.","Українська служба Бі-Бі-Сі опублікувала список з усіх питань, які стосуються літніх канікул у швейцарських кантонах і комунах. Пропонуємо дітям розроблені «відпускні паспорти».",0.0,0.0,0.0
"🇺🇦 Консультація з освіти у Швейцарії\n\nOlga Bulankina очолює приймальну комісію в Міжнародному Університеті Женеви та надає консультацію для українців щодо:\n\n✅ Процедури вступу та як правильно подати Вашу заявку на вступ.\n✅ Міжнародних програми обміну, включаючи подробиці про два дипломи бакалавра одночасно в UK State University of Plymouth та International University in Geneva лише за 3 роки та не виїжджаючи з Женеви.\n✅ Працевлаштування під час та після закінчення навчання.\n✅ Проживання та життя в Женеві.\n\nВсе, що вам потрібно зробити, це зв'язатися з Ольгою в Instagram (olyabulankina) АБО перейти за цим посиланням \nhttps://calendly.com/studyinswitzerland/15min?back=1&month=2022-05\nщоб приєднатися до онлайн зустрічі у вибраний проміжок часу.\n\n✅ Щоб першим дізнаватися про набір у групи, на курси або майстер-класи, підписуйтесь на нашу сторінку у фейсбук Ukraine-Reborn або на канал у телеграм https://t.me/ukraine_reborn","Консультація з освіти у Швейцарії Ольга Буланкіна надає консультацію для українців щодо вступу до Міжнародного Університету Женеви, яка має намір обмінюватися на кілька місяців.","Українська служба Бі-Бі-Сі опублікувала матеріали, які стосуються навчання в Швейцарії та міжнародних програм обміну для українських студентів. Для українців це - одна з найцікавіших матеріалів тижня.",0.0,0.0,0.0
"🇺🇦 Особливості роботи в Швейцарії \n\nЗапрошуємо бажаючих 19 травня (четверг) о 14:00 на зустріч з експертом з питань кар'єри та коучем Лідією Надич-Петренко (https://www.linkedin.com/in/nadych).\n\nНа зустрічі ми піднімемо питання працевлаштування та роботи у Швейцарії та відповімо на нагальні та конкретні запитання з цього приводу.\n\nОзнайомитися з особливостями працевлаштування у Швейцарії також можна у відео записі вебінару (https://youtu.be/Ii5gB81x3sA), який провела Лідія Надич-Петренко.\n\nЧекаємо на вас у центрі Ge Care Ukraine \n19 травня (четверг) о 14:00\nАдреса:\nrue de Montbrillant 52, 1202 Geneva. \nGoogle maps: https://goo.gl/maps/zKCKnWMxftiuNeC79\n\nКількість учасників обмежена.\nРеєстрація на участь \nhttps://forms.gle/7r5iiGBmSzHby5aZ9\n\n✅ Щоб першим дізнаватися про набір у групи, на курси або майстер-класи, підписуйтесь на нашу сторінку у фейсбук Ukraine-Reborn або на канал у телеграм https://t.me/ukraine_reborn",У центрі GCare Ukraine відбудеться зустріч з експертом з питань кар'єри та коучем з питань кар'єри та коучем з питань кар'єри Лідією Надич-Петренко.,"ВВС Україна зібрала найцікавіші матеріали про роботу в Швейцарії та світі за тиждень до того, як ви зможуть взяти участь у конкурсі на місце роботи у цій країні.",0.0,0.0,0.0
"🇺🇦 Оренда апаратури для зйомок у Швейцарії\n\nBureau Culturel безкоштовно надає в оренду апаратуру для зйомок для українців 📸\n\nКамери, об’єктиви, освітлення, мікрофони, блоки живлення, жорсткі диски, штативи, моноподи, стабілізатори та багато іншого.\nТакож можна користуватися офісним обладнанням.\nДетальний список апаратури у Женеві\nhttps://www.bureauculturel.ch/ge/calendrier\n\nДля цього необхідно зареєструватися, заповнити форму та супроводити її деякими оригіналами адміністративних документів.\n\nРеєстраційний файл, складений таким чином, має бути доставлений особисто на стійку Bureau Culturel в робочий час та мінімум за 7 днів до першого бронювання.\n\nДетальна інформація на офіційному сайті \nhttps://www.bureauculturel.ch/ge/\n\n✅ Щоб першим дізнаватися про набір у групи, на курси або майстер-класи, підписуйтесь на нашу сторінку у фейсбук Ukraine-Reborn або на канал у телеграм https://t.me/ukraine_rebornь","Швейцарська компанія Bureau Culturel надає в оренду апаратуру для зйомок для українців. Для цього необхідно зареєструватися на офіційному сайті компанії, яка працює у Женеві.","Українська служба Бі-Бі-Сі зібрала найцікавіші матеріали про набір у групи, на курси або майстер-класи для українців. Для цього орендуйте апаратуру у Швейцарії, а також в Україні.",0.0,0.0,0.0
"🇺🇦 Реєстрація у літній табір при Фондації ФАЗЕ на літо 2022 року (Женева)\n\nДіти, що мають дозвіл на проживання S.\nУ партнерстві з кантональними органами влади Женеви, ФАЗЕ пропонує додаткові місця у літньому таборі для українських дітей на період літніх канікул у 2022р. \n\nЦе зроблено для задоволення потреб у дозвіллі цих дітей та їх інтеграції на території Женеви, а також, щоб надати їх батькам можливість відвідувати курси французької мови, узгоджені з Генеральним Хоспісом.\n\nЛітні табори пропонують догляд за дітьми віком від 4 до 12 років, що здійснюється професіоналами у сфері дозвілля, один дорослий на вісім дітей. \n\nДетальна інформація за посиланням\nhttps://drive.google.com/file/d/1kPQj0LoBTz-W97HMazrFUCDTkM_FNcnX/view?usp=drivesdk\n\n✅ Щоб першим дізнаватися про набір на курси, майстер-класи та отримувати корисну інформацію підписуйтесь на нашу сторінку у Facebook\nhttps://www.facebook.com/ukraine.reborn.ch/ \nабо на канал у telegram https://t.me/ukraine_reborn\n\n#ukraine_reborn_рекомендує\n#ukraine_reborn",У Женеві Фондація ФАЗЕ пропонує додаткові місця у літньому таборі для українських дітей на період літніх канікул 2022 року для дітей віком від 4 до 12 років.,Українська служба Бі-Бі-Сі оприлюднила інформацію про додаткові місця у літньому таборі для українських дітей на період літніх канікул у 2022 році.,0.5,0.0,0.5
"‼️ КЕМБРИДЖСЬКИЙ УНІВЕРСИТЕТ (ВЕЛИКА БРИТАНІЯ) АНОНСУВАВ ВРАЖАЮЧІ АКАДЕМІЧНІ МОЖЛИВОСТІ ДЛЯ УКРАЇНЦІВ ТА УКРАЇНОК\n\nЦей масивний пакет академічних можливостей включає:\n\n‣ 10 повних стипендій для потенційних докторантів та докторанток з України;\n\n‣ понад 10 повних стипендій від Стипендіальної проґрами Роуена Вілльямса для студентів бакалаврських та докторських проґрам;\n\n‣ 10 повних стипендій для постдоків та дослідників та дослідниць з України в Кембриджі;\n\n‣ семитижневі резиденції для студентів Харківського національного медичного університету;\n\n‣ комплект ідивідуальних нерезиденційних стипендій для українців та українок, які залишаються в Україні, але хочуть продовжувати свої дослідження;\n\n‣ стипендії для студентів та студенток Кембриджа з України, які безпосередньо постраждали від російсько-українскої війни;\n\n‣ підтримку в реформуванні системи вищої освіти в Україні.\n\nДеталі - за посиланням: \nhttps://m.facebook.com/CUUAsoc/posts/pfbid0gSA6JQWkCkq4PGSNEVbYGDdxw8ic9FKEi67Dwxe5vajaq4iGgi9QhizayyRYZ3Hal","Кембріджський університет (Веліка БРИТАНІЯ) анонсував вражаючі академічні можливості для українців та українок, які хочуть продовжувати свої дослідження в Україні.","Студенти Кембриджа, які постраждали від російсько-української війни, можуть отримати додаткові академічні можливості. Про це йдеться в повідомленні на сайті університету.",0.0,0.0,0.0
"🇺🇦 Українці зможуть обміняти гривні на франки у Швейцарії\n\nФедеральна рада доручила Федеральному департаменту фінансів (FDF) працювати в тісних консультаціях із Національним банком Швейцарії (SNB) для розробки пропозиції щодо того, як українські біженці в Швейцарії можуть обміняти українську готівку на швейцарські франки. Тепер він схвалив запропоноване рішення та вирішив, у співпраці з SNB та учасниками швейцарських комерційних банків, дозволити обмін готівкою. \n\nЗ 27 червня 2022 року дорослі зі статусом захисту «S» можуть обміняти одну суму до 10 000 гривень у окремих відділеннях UBS та Credit Suisse. Зараз це приблизно 300 швейцарських франків. Курс встановлюється Національним банком України.\nФото: swissinfo.ch\n\n✅ Щоб першим отримувати корисну інформацію підписуйтесь на нашу сторінку у Facebook\nhttps://www.facebook.com/ukraine.reborn.ch/ \nабо на канал у telegram https://t.me/ukraine_reborn\n\n#ukraine_reborn_рекомендує\n#ukraine_reborn",У Швейцарії можуть обміняти українську готівку на швейцарські франки. Про це повідомила Федеральна рада України з питань фінансів і торгівлі (FDF) з посиланням на офіційний сайт Швейцарії.,"Українська служба Бі-Бі-Сі пропонує українцям обміняти українську готівку на швейцарські франки, а також повідомляє про те, що українські біженці в Швейцарії можуть отримати статус захисту «S».",0.0,0.0,0.0
"Робота та кар'єра для біженців будь-якої статі в Accenture Швейцарія\n\nГлобальний центр інновацій Accenture Швейцарія заохочує українців почати кар’єру в їх компанії.\nДля цього потрібно надіслати заявку, та пройти відбір. Ви побачите на які відкриті вакансії в Accenture Ви найкраще підходите.\nQualifications\n • Університетська освіта, напр. в економіці, діловому адмініструванні, ІТ, математиці, природничих або гуманітарних науках\n • Досвід роботи у професійному середовищі\n • Чітка орієнтація на клієнта\n • Високе володіння англійською мовою в бізнесі\n • Наявний швейцарський дозвіл на проживання S (Ausweis S), або відповідність йому\n • Робоча зайнятість не менше 60 %\nЗ командою рекрутингу можна зв’язатися за електронною адресою: recruiting_ch @accenture.com або за телефоном: +41 44 21950 05\nОригінал оголошення:\nhttps://www.accenture.com/ch-en/careers/jobdetails?id=R00095684_en&src=LINKEDINJP\n#ukraine_reborn_корисна_інформація\n#ukraine_reborn","У Швейцарії відкриті вакансії для біженців будь-якої статі для біженців будь-якої статі для біженців будь-якої статі, які хочуть почати кар’єру.","У швейцарському офісі цього тижня є оголошення про роботу та кар'єру для біженців будь-якої статі в їх компанії - вакансії, які можуть бути відкриті в Україні.",0.0,0.0,0.0
